id,code,name,region
52229,52009478,北京利德曼生化股份有限公司,北京
52230,52004473,河北省儿童医院,河北
52231,52009359,上海市第一人民医院,上海
52232,52009501,杨浦区控江社区卫生服务中心,上海
52233,52009839,北京美兆健康体检中心有限公司,北京
52234,52009429,广东省中医院,广东
52235,52009457,新疆医科大学附属肿瘤医院,新疆
52236,52009461,河南省人民医院,河南
52237,52009535,上海交通大学医学院附属第九人民医院黄浦分院,上海
52238,52009536,上海市瑞金康复医院,上海
52239,52009605,上海市第一康复医院,上海
52240,52009537,威海市立医院（总院）,山东
52241,52009570,福建中医药大学附属人民医院,福建
52242,52009883,广西中医药大学附属瑞康医院,广西
52243,52010018,上海市公共卫生临床中心,上海
52244,52009401,上海市公共卫生临床中心(市区分部),上海
52245,52010098,常州市妇幼保健院,江苏
52246,52010039,天津市第二人民医院,天津
52247,52009567,上海中医药大学附属上海市中医医院,上海
52248,52009551,十堰市人民医院,湖北
52249,52009631,宁德师范学院附属宁德市医院,福建
52250,52009614,嘉定区中心医院,上海
52251,52009793,温州市中西医结合医院,浙江
52252,52009750,承德医学院附属医院,河北
52253,52009751,泰州市人民医院,江苏
52254,52009792,北京航天总医院,北京
52255,52009577,首都医科大学附属北京朝阳医院,北京
52256,52009609,福建省立医院,福建
52257,52009619,杨浦区中心医院安图分部,上海
52258,52009851,瓦房店市中心医院,辽宁
52259,52009811,平顶山市第一人民医院,河南
52260,52009572,大连市金州区第一人民医院,辽宁
52261,52009659,张家界市人民医院,湖南
52262,52009886,哈尔滨医科大学附属第二医院,黑龙江
52263,52009911,河北医科大学第二医院,河北
52264,52010001,福建医科大学附属第二医院,福建
52265,52009842,北京协和医院,北京
52266,52009606,湖南省妇幼保健院,湖南
52267,52009884,解放军总医院第五医学中心(南院),北京
52268,52010040,中国人民解放军联勤保障部队第907医院,福建
52269,52010002,青浦区中医医院,上海
52270,52009891,上海市嘉定区南翔医院,上海
52271,52010140,开平市中心医院,广东
52272,52010073,中日友好医院,北京
52273,52010175,中南大学湘雅医院,湖南
52274,52010075,北京通顺赛马场有限公司,北京
52275,52004467,大连市中心医院,辽宁
